dc.title,dc.date.issued,dc.identifier.pure,dc.identifier.uri
Seelsorge als spezialisierte Care im Gesundheitswesen. Eine kurze Einführung,2026,124056717,https://hdl.handle.net/20.500.14602/103936
Debate: The Normative Case for a Global Minimum Tax on Ultra-High-Net-Worth Individuals,2026,122099829,https://hdl.handle.net/20.500.14602/103401
What Happens at Home: Public and Private Space in 1 Cor 11:17-34,2026,83706713,https://hdl.handle.net/20.500.14602/25332
"διατριβή, διατρίβω",2026,81766161,https://hdl.handle.net/20.500.14602/25269
"δῆμος, δημόσιος",2026,81766031,https://hdl.handle.net/20.500.14602/25268
ἔθνος,2026,81766271,https://hdl.handle.net/20.500.14602/25270
"Solving the strip packing problem with a decomposition framework and a generic solver: Implementation, tuning, and reinforcement-learning-based hybridization",2026-01,122592931,https://hdl.handle.net/20.500.14602/103557
The 20th-century Debate on the Nature of New Testament Greek in the Low Countries,2026,124221481,https://hdl.handle.net/20.500.14602/103999
Healthcare utilization and costs for cardiovascular diseases across different levels of bundled payment adoption in general practice: A data linkage study,2026-01,123364365,https://hdl.handle.net/20.500.14602/103757
Wat is het punt van gelijkheid?,2026,124503698,https://hdl.handle.net/20.500.14602/104077
Pastorale Beruflichkeit von Lai*innen angesichts radikaler religiöser Deinstitutionalisierung,2026,124514270,https://hdl.handle.net/20.500.14602/104094
Experiments on common property management,2026,124742684,https://hdl.handle.net/20.500.14602/104217
Introduction,2026,124626099,https://hdl.handle.net/20.500.14602/104174
Principles of good governance: A network approach,2026-01,116336689,https://hdl.handle.net/20.500.14602/102325
Operations & supply chain management: Principles and practice,2026-01,113631079,https://hdl.handle.net/20.500.14602/101730
The link between 1-norm approximation and effective positivstellensatze for the hypercube,2026,110260551,https://hdl.handle.net/20.500.14602/82743
The impact of experiments on environmental and natural resource policy,2026,124742540,https://hdl.handle.net/20.500.14602/104216
La gestione di una lingua non standardizzata. Il caso del francoprovenzale di Puglia,2026,124628543,https://hdl.handle.net/20.500.14602/104185
Categorie discrete e fenomeni continui: i segnali discorsivi nei modelli dell’alternanza di codice,2026,124628498,https://hdl.handle.net/20.500.14602/104184
Logical Positivism: An American History,2026,124752858,https://hdl.handle.net/20.500.14602/104266
Constructional intertwinement: Beyond the superficial appearance of bilingual speech,2026,124628076,https://hdl.handle.net/20.500.14602/104179
"Forme e modelli del contatto tra linguistica, letteratura e filologia",2026,124714729,https://hdl.handle.net/20.500.14602/104205
Optimization hierarchies for distance-avoiding sets in compact spaces,2026,124868074,https://hdl.handle.net/20.500.14602/104329
Enhancing quasi-nonlinear long-term cognitive networks with temporal attention for pattern classification,2026-01,125165518,https://hdl.handle.net/20.500.14602/104439
Beyond the rhetoric: Case studies in ESG adherence by big tech,2026,120854094,https://hdl.handle.net/20.500.14602/102991
Introduction: A just transition for whom? Policy grammars and grammars of communities,2026,124708092,https://hdl.handle.net/20.500.14602/104191
Introduction to the special issue - The Global Reception of Russell's Scientific Philosophy,2026,79157351,https://hdl.handle.net/20.500.14602/79719
Kojève’s Silence: Science and the End of History,2026,109994829,https://hdl.handle.net/20.500.14602/82688
What has been the impact of western governments’ laws and policies on the mental health of asylum seekers and refugees?: A Systematic-narrative hybrid literature review,2026,124517445,https://hdl.handle.net/20.500.14602/104096
The emergence of legal normativity: A phenomenological genealogy of bodily lawmaking,2026,115483789,https://hdl.handle.net/20.500.14602/102092
"Effects of a 12-week intrinsic foot muscle strengthening program (STIFF) on gait, balance and concerns about falling in physically active older adults: An assessor-blinded randomized-controlled trial",2026-01,124857918,https://hdl.handle.net/20.500.14602/104297
Foreword,2026,125314357,https://hdl.handle.net/20.500.14602/104466
Nature and grace in the Summa contra Gentiles,2026,124742846,https://hdl.handle.net/20.500.14602/104219
Thomism and the theology of Peter Martyr Vermigli and Jerome Zanchi,2026,108754507,https://hdl.handle.net/20.500.14602/82453
"De Resonantie van de Ney: Rumi’s Perspectief op Natuur, Melodie en het Goddelijke",2026,125343122,https://hdl.handle.net/20.500.14602/104470
"Kruis, klimaat en kunst: Christus als icoon van lijden en hoop voor de schepping",2026,110654158,https://hdl.handle.net/20.500.14602/82827
The dynamics of cross-cultural management in a globalized world,2026,125431810,https://hdl.handle.net/20.500.14602/104578
A choice-based approach to the measurement of inflation expectations,2026-01,125397861,https://hdl.handle.net/20.500.14602/104485
"Das Bild des Judentums im katholischen Religions- und Geschichtsunterricht in Belgien als ein Fall von Konflikt in Kirche, Bildung und Gesellschaft (1945-1990)",2026,116298690,https://hdl.handle.net/20.500.14602/102304
The Empirical Premises of Economic Limitarianism,2026,104464136,https://hdl.handle.net/20.500.14602/25844
Playing her Part: Herodias’ Role in the Gospels and Josephus,2026,59702870,https://hdl.handle.net/20.500.14602/104512
To Be Bicultural Is to Be Friends? Associating Early Adolescents' Cultural Identities and Behaviors With Friendship Networks in Minority‐Only Schools,2026-01,125493669,https://hdl.handle.net/20.500.14602/104607
